        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-09-13 06:43:49 ,         497.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4279   ,
2026-09-13 06:43:50 ,         498.0   ,             12.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4279   ,
2026-09-13 06:43:51 ,         499.0   ,             14.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          1   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               27.0   ,                  4287   ,
2026-09-13 06:43:52 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4286   ,
2026-09-13 06:43:53 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               27.0   ,                  4285   ,
2026-09-13 06:43:54 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4286   ,
2026-09-13 06:43:55 ,         498.0   ,             10.0   ,               47.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4286   ,
2026-09-13 06:43:56 ,         497.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4285   ,
2026-09-13 06:43:57 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4277   ,
2026-09-13 06:43:58 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4276   ,
2026-09-13 06:43:59 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4274   ,
2026-09-13 06:44:00 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4271   ,
2026-09-13 06:44:01 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       50   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:02 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        237   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4273   ,
2026-09-13 06:44:03 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4273   ,
2026-09-13 06:44:04 ,         498.0   ,             12.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4274   ,
2026-09-13 06:44:05 ,         501.0   ,            744.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,         10   ,                        1   ,                        243   ,                       51   ,                  17.0   ,         0.800   ,               28.0   ,                  4275   ,
2026-09-13 06:44:06 ,         499.0   ,             16.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          2   ,                        2   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4274   ,
2026-09-13 06:44:07 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4275   ,
2026-09-13 06:44:08 ,         498.0   ,             16.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          1   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:09 ,         498.0   ,             12.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4275   ,
2026-09-13 06:44:10 ,         498.0   ,             16.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          1   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4275   ,
2026-09-13 06:44:11 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4275   ,
2026-09-13 06:44:12 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        239   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4275   ,
2026-09-13 06:44:13 ,         498.0   ,             14.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:14 ,         498.0   ,             12.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4273   ,
2026-09-13 06:44:15 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4273   ,
2026-09-13 06:44:16 ,         499.0   ,             18.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          4   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:17 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:18 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4272   ,
2026-09-13 06:44:19 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4271   ,
2026-09-13 06:44:20 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4271   ,
2026-09-13 06:44:21 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4271   ,
2026-09-13 06:44:22 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4271   ,
2026-09-13 06:44:23 ,         498.0   ,             12.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4231   ,
2026-09-13 06:44:24 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4232   ,
2026-09-13 06:44:25 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4231   ,
2026-09-13 06:44:26 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4231   ,
2026-09-13 06:44:27 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4230   ,
2026-09-13 06:44:28 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4230   ,
2026-09-13 06:44:29 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:30 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:31 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:32 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:33 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:34 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:35 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:36 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:37 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:38 ,         499.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4229   ,
2026-09-13 06:44:39 ,         498.0   ,             10.0   ,               47.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4228   ,
2026-09-13 06:44:40 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        236   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4228   ,
2026-09-13 06:44:41 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        237   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4225   ,
2026-09-13 06:44:42 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  17.0   ,         0.800   ,               26.0   ,                  4228   ,
2026-09-13 06:44:43 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4228   ,
2026-09-13 06:44:44 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4228   ,
2026-09-13 06:44:45 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4228   ,
2026-09-13 06:44:46 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4228   ,
2026-09-13 06:44:47 ,         498.0   ,             14.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          1   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:48 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:49 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:50 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:51 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:52 ,         498.0   ,             10.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4227   ,
2026-09-13 06:44:53 ,         498.0   ,             10.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4219   ,
2026-09-13 06:44:54 ,         499.0   ,             24.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          4   ,                        3   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4220   ,
2026-09-13 06:44:55 ,         498.0   ,             12.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4220   ,
